,drone_speed,drone_ascent_rate,drone_response_distance,is_violation,max_heli_speed,min_heli_speed
0,44.0,8.2,2000.0,0,183.33,154.0
1,44.0,8.2,2300.0,0,183.33,154.0
2,44.0,8.2,2600.0,0,183.33,154.0
3,44.0,8.2,2900.0,0,183.33,154.0
4,44.0,8.2,3200.0,0,183.33,154.0
5,44.0,8.2,3500.0,0,183.33,154.0
6,44.0,8.2,3800.0,0,183.33,154.0
7,44.0,8.2,4100.0,0,183.33,154.0
8,44.0,8.2,4400.0,0,183.33,154.0
9,44.0,8.2,4700.0,0,183.33,154.0
10,44.0,8.2,5000.0,0,183.33,154.0
11,44.0,8.57,2000.0,0,183.33,154.0
12,44.0,8.57,2300.0,0,183.33,154.0
13,44.0,8.57,2600.0,0,183.33,154.0
14,44.0,8.57,2900.0,0,183.33,154.0
15,44.0,8.57,3200.0,0,183.33,154.0
16,44.0,8.57,3500.0,0,183.33,154.0
17,44.0,8.57,3800.0,0,183.33,154.0
18,44.0,8.57,4100.0,0,183.33,154.0
19,44.0,8.57,4400.0,0,183.33,154.0
20,44.0,8.57,4700.0,0,183.33,154.0
21,44.0,8.57,5000.0,0,183.33,154.0
22,44.0,8.95,2000.0,0,183.33,154.0
23,44.0,8.95,2300.0,0,183.33,154.0
24,44.0,8.95,2600.0,0,183.33,154.0
25,44.0,8.95,2900.0,0,183.33,154.0
26,44.0,8.95,3200.0,0,183.33,154.0
27,44.0,8.95,3500.0,0,183.33,154.0
28,44.0,8.95,3800.0,0,183.33,154.0
29,44.0,8.95,4100.0,0,183.33,154.0
30,44.0,8.95,4400.0,0,183.33,154.0
31,44.0,8.95,4700.0,0,183.33,154.0
32,44.0,8.95,5000.0,0,183.33,154.0
33,44.0,9.32,2000.0,0,183.33,154.0
34,44.0,9.32,2300.0,0,183.33,154.0
35,44.0,9.32,2600.0,0,183.33,154.0
36,44.0,9.32,2900.0,0,183.33,154.0
37,44.0,9.32,3200.0,0,183.33,154.0
38,44.0,9.32,3500.0,0,183.33,154.0
39,44.0,9.32,3800.0,0,183.33,154.0
40,44.0,9.32,4100.0,0,183.33,154.0
41,44.0,9.32,4400.0,0,183.33,154.0
42,44.0,9.32,4700.0,0,183.33,154.0
43,44.0,9.32,5000.0,0,183.33,154.0
44,44.0,9.7,2000.0,0,183.33,154.0
45,44.0,9.7,2300.0,0,183.33,154.0
46,44.0,9.7,2600.0,0,183.33,154.0
47,44.0,9.7,2900.0,0,183.33,154.0
48,44.0,9.7,3200.0,0,183.33,154.0
49,44.0,9.7,3500.0,0,183.33,154.0
50,44.0,9.7,3800.0,0,183.33,154.0
51,44.0,9.7,4100.0,0,183.33,154.0
52,44.0,9.7,4400.0,0,183.33,154.0
53,44.0,9.7,4700.0,0,183.33,154.0
54,44.0,9.7,5000.0,0,183.33,154.0
55,44.0,10.07,2000.0,0,183.33,154.0
56,44.0,10.07,2300.0,0,183.33,154.0
57,44.0,10.07,2600.0,0,183.33,154.0
58,44.0,10.07,2900.0,0,183.33,154.0
59,44.0,10.07,3200.0,0,183.33,154.0
60,44.0,10.07,3500.0,0,183.33,154.0
61,44.0,10.07,3800.0,0,183.33,154.0
62,44.0,10.07,4100.0,0,183.33,154.0
63,44.0,10.07,4400.0,0,183.33,154.0
64,44.0,10.07,4700.0,0,183.33,154.0
65,44.0,10.07,5000.0,0,183.33,154.0
66,44.0,10.45,2000.0,0,183.33,154.0
67,44.0,10.45,2300.0,0,183.33,154.0
68,44.0,10.45,2600.0,0,183.33,154.0
69,44.0,10.45,2900.0,0,183.33,154.0
70,44.0,10.45,3200.0,0,183.33,154.0
71,44.0,10.45,3500.0,0,183.33,154.0
72,44.0,10.45,3800.0,0,183.33,154.0
73,44.0,10.45,4100.0,0,183.33,154.0
74,44.0,10.45,4400.0,0,183.33,154.0
75,44.0,10.45,4700.0,0,183.33,154.0
76,44.0,10.45,5000.0,0,183.33,154.0
77,44.0,10.82,2000.0,0,183.33,154.0
78,44.0,10.82,2300.0,0,183.33,154.0
79,44.0,10.82,2600.0,0,183.33,154.0
80,44.0,10.82,2900.0,0,183.33,154.0
81,44.0,10.82,3200.0,0,183.33,154.0
82,44.0,10.82,3500.0,0,183.33,154.0
83,44.0,10.82,3800.0,0,183.33,154.0
84,44.0,10.82,4100.0,0,183.33,154.0
85,44.0,10.82,4400.0,0,183.33,154.0
86,44.0,10.82,4700.0,0,183.33,154.0
87,44.0,10.82,5000.0,0,183.33,154.0
88,44.0,11.2,2000.0,0,183.33,154.0
89,44.0,11.2,2300.0,0,183.33,154.0
90,44.0,11.2,2600.0,0,183.33,154.0
91,44.0,11.2,2900.0,0,183.33,154.0
92,44.0,11.2,3200.0,0,183.33,154.0
93,44.0,11.2,3500.0,0,183.33,154.0
94,44.0,11.2,3800.0,0,183.33,154.0
95,44.0,11.2,4100.0,0,183.33,154.0
96,44.0,11.2,4400.0,0,183.33,154.0
97,44.0,11.2,4700.0,0,183.33,154.0
98,44.0,11.2,5000.0,0,183.33,154.0
99,44.0,11.58,2000.0,0,183.33,154.0
100,44.0,11.58,2300.0,0,183.33,154.0
101,44.0,11.58,2600.0,0,183.33,154.0
102,44.0,11.58,2900.0,0,183.33,154.0
103,44.0,11.58,3200.0,0,183.33,154.0
104,44.0,11.58,3500.0,0,183.33,154.0
105,44.0,11.58,3800.0,0,183.33,154.0
106,44.0,11.58,4100.0,0,183.33,154.0
107,44.0,11.58,4400.0,0,183.33,154.0
108,44.0,11.58,4700.0,0,183.33,154.0
109,44.0,11.58,5000.0,0,183.33,154.0
110,44.0,11.95,2000.0,0,183.33,154.0
111,44.0,11.95,2300.0,0,183.33,154.0
112,44.0,11.95,2600.0,0,183.33,154.0
113,44.0,11.95,2900.0,0,183.33,154.0
114,44.0,11.95,3200.0,0,183.33,154.0
115,44.0,11.95,3500.0,0,183.33,154.0
116,44.0,11.95,3800.0,0,183.33,154.0
117,44.0,11.95,4100.0,0,183.33,154.0
118,44.0,11.95,4400.0,0,183.33,154.0
119,44.0,11.95,4700.0,0,183.33,154.0
120,44.0,11.95,5000.0,0,183.33,154.0
121,44.0,12.32,2000.0,0,183.33,154.0
122,44.0,12.32,2300.0,0,183.33,154.0
123,44.0,12.32,2600.0,0,183.33,154.0
124,44.0,12.32,2900.0,0,183.33,154.0
125,44.0,12.32,3200.0,0,183.33,154.0
126,44.0,12.32,3500.0,0,183.33,154.0
127,44.0,12.32,3800.0,0,183.33,154.0
128,44.0,12.32,4100.0,0,183.33,154.0
129,44.0,12.32,4400.0,0,183.33,154.0
130,44.0,12.32,4700.0,0,183.33,154.0
131,44.0,12.32,5000.0,0,183.33,154.0
132,44.0,12.7,2000.0,0,183.33,154.0
133,44.0,12.7,2300.0,0,183.33,154.0
134,44.0,12.7,2600.0,0,183.33,154.0
135,44.0,12.7,2900.0,0,183.33,154.0
136,44.0,12.7,3200.0,0,183.33,154.0
137,44.0,12.7,3500.0,0,183.33,154.0
138,44.0,12.7,3800.0,0,183.33,154.0
139,44.0,12.7,4100.0,0,183.33,154.0
140,44.0,12.7,4400.0,0,183.33,154.0
141,44.0,12.7,4700.0,0,183.33,154.0
142,44.0,12.7,5000.0,0,183.33,154.0
143,44.0,13.08,2000.0,0,183.33,154.0
144,44.0,13.08,2300.0,0,183.33,154.0
145,44.0,13.08,2600.0,0,183.33,154.0
146,44.0,13.08,2900.0,0,183.33,154.0
147,44.0,13.08,3200.0,0,183.33,154.0
148,44.0,13.08,3500.0,0,183.33,154.0
149,44.0,13.08,3800.0,0,183.33,154.0
150,44.0,13.08,4100.0,0,183.33,154.0
151,44.0,13.08,4400.0,0,183.33,154.0
152,44.0,13.08,4700.0,0,183.33,154.0
153,44.0,13.08,5000.0,0,183.33,154.0
154,44.0,13.45,2000.0,0,183.33,154.0
155,44.0,13.45,2300.0,0,183.33,154.0
156,44.0,13.45,2600.0,0,183.33,154.0
157,44.0,13.45,2900.0,0,183.33,154.0
158,44.0,13.45,3200.0,0,183.33,154.0
159,44.0,13.45,3500.0,0,183.33,154.0
160,44.0,13.45,3800.0,0,183.33,154.0
161,44.0,13.45,4100.0,0,183.33,154.0
162,44.0,13.45,4400.0,0,183.33,154.0
163,44.0,13.45,4700.0,0,183.33,154.0
164,44.0,13.45,5000.0,0,183.33,154.0
165,44.0,13.82,2000.0,0,183.33,154.0
166,44.0,13.82,2300.0,0,183.33,154.0
167,44.0,13.82,2600.0,0,183.33,154.0
168,44.0,13.82,2900.0,0,183.33,154.0
169,44.0,13.82,3200.0,0,183.33,154.0
170,44.0,13.82,3500.0,0,183.33,154.0
171,44.0,13.82,3800.0,0,183.33,154.0
172,44.0,13.82,4100.0,0,183.33,154.0
173,44.0,13.82,4400.0,0,183.33,154.0
174,44.0,13.82,4700.0,0,183.33,154.0
175,44.0,13.82,5000.0,0,183.33,154.0
176,44.0,14.2,2000.0,0,183.33,154.0
177,44.0,14.2,2300.0,0,183.33,154.0
178,44.0,14.2,2600.0,0,183.33,154.0
179,44.0,14.2,2900.0,0,183.33,154.0
180,44.0,14.2,3200.0,0,183.33,154.0
181,44.0,14.2,3500.0,0,183.33,154.0
182,44.0,14.2,3800.0,0,183.33,154.0
183,44.0,14.2,4100.0,0,183.33,154.0
184,44.0,14.2,4400.0,0,183.33,154.0
185,44.0,14.2,4700.0,0,183.33,154.0
186,44.0,14.2,5000.0,0,183.33,154.0
