relative_speed,drone_horizontal_turn_rate,step,drone_speed,drone_x_pos,heli_speed,drone_response_distance,is_violation
-197.45171004577298,6.0,520,73.33,2000.0,183.33,2000.0,0
-197.45171004577298,8.0,520,73.33,2000.0,183.33,2000.0,0
-197.45171004577298,10.0,520,73.33,2000.0,183.33,2000.0,0
-197.45171004577298,12.0,520,73.33,2000.0,183.33,2000.0,0
-197.45171004577298,14.0,520,73.33,2000.0,183.33,2000.0,0
-197.45171004577298,16.0,520,73.33,2000.0,183.33,2000.0,0
-197.45171004577298,18.0,520,73.33,2000.0,183.33,2000.0,0
-197.45171004577298,20.0,520,73.33,2000.0,183.33,2000.0,0
-194.84837412716587,6.0,520,66.0,2000.0,183.33,2000.0,0
-194.84837412716587,8.0,520,66.0,2000.0,183.33,2000.0,0
-194.84837412716587,10.0,520,66.0,2000.0,183.33,2000.0,0
-194.84837412716587,12.0,520,66.0,2000.0,183.33,2000.0,0
-194.84837412716587,14.0,520,66.0,2000.0,183.33,2000.0,0
-194.84837412716587,16.0,520,66.0,2000.0,183.33,2000.0,0
-194.84837412716587,18.0,520,66.0,2000.0,183.33,2000.0,0
-194.84837412716587,20.0,520,66.0,2000.0,183.33,2000.0,0
-192.48911086084846,6.0,520,58.67,2000.0,183.33,2000.0,0
-192.48911086084846,8.0,520,58.67,2000.0,183.33,2000.0,0
-192.48911086084846,10.0,520,58.67,2000.0,183.33,2000.0,0
-192.48911086084846,12.0,520,58.67,2000.0,183.33,2000.0,0
-192.48911086084846,14.0,520,58.67,2000.0,183.33,2000.0,0
-192.48911086084846,16.0,520,58.67,2000.0,183.33,2000.0,0
-192.48911086084846,18.0,520,58.67,2000.0,183.33,2000.0,0
-192.48911086084846,20.0,520,58.67,2000.0,183.33,2000.0,0
-192.0231491253073,6.0,520,73.33,2000.0,177.47,2000.0,0
-192.0231491253073,8.0,520,73.33,2000.0,177.47,2000.0,0
-192.0231491253073,10.0,520,73.33,2000.0,177.47,2000.0,0
-192.0231491253073,12.0,520,73.33,2000.0,177.47,2000.0,0
-192.0231491253073,14.0,520,73.33,2000.0,177.47,2000.0,0
-192.0231491253073,16.0,520,73.33,2000.0,177.47,2000.0,0
-192.0231491253073,18.0,520,73.33,2000.0,177.47,2000.0,0
-192.0231491253073,20.0,520,73.33,2000.0,177.47,2000.0,0
-190.3802978251689,6.0,520,51.33,2000.0,183.33,2000.0,0
-190.3802978251689,8.0,520,51.33,2000.0,183.33,2000.0,0
-190.3802978251689,10.0,520,51.33,2000.0,183.33,2000.0,0
-190.3802978251689,12.0,520,51.33,2000.0,183.33,2000.0,0
-190.3802978251689,14.0,520,51.33,2000.0,183.33,2000.0,0
-190.3802978251689,16.0,520,51.33,2000.0,183.33,2000.0,0
-190.3802978251689,18.0,520,51.33,2000.0,183.33,2000.0,0
-190.3802978251689,20.0,520,51.33,2000.0,183.33,2000.0,0
-189.34518979894895,6.0,520,66.0,2000.0,177.47,2000.0,0
-189.34518979894895,8.0,520,66.0,2000.0,177.47,2000.0,0
-189.34518979894895,10.0,520,66.0,2000.0,177.47,2000.0,0
-189.34518979894895,12.0,520,66.0,2000.0,177.47,2000.0,0
-189.34518979894895,14.0,520,66.0,2000.0,177.47,2000.0,0
-189.34518979894895,16.0,520,66.0,2000.0,177.47,2000.0,0
-189.34518979894895,18.0,520,66.0,2000.0,177.47,2000.0,0
-189.34518979894895,20.0,520,66.0,2000.0,177.47,2000.0,0
-188.5361739826074,6.0,520,44.0,2000.0,183.33,2000.0,0
-188.5361739826074,8.0,520,44.0,2000.0,183.33,2000.0,0
-188.5361739826074,10.0,520,44.0,2000.0,183.33,2000.0,0
-188.5361739826074,12.0,520,44.0,2000.0,183.33,2000.0,0
-188.5361739826074,14.0,520,44.0,2000.0,183.33,2000.0,0
-188.5361739826074,16.0,520,44.0,2000.0,183.33,2000.0,0
-188.5361739826074,18.0,520,44.0,2000.0,183.33,2000.0,0
-188.5361739826074,20.0,520,44.0,2000.0,183.33,2000.0,0
-186.91647813930157,6.0,520,58.67,2000.0,177.47,2000.0,0
-186.91647813930157,8.0,520,58.67,2000.0,177.47,2000.0,0
-186.91647813930157,10.0,520,58.67,2000.0,177.47,2000.0,0
-186.91647813930157,12.0,520,58.67,2000.0,177.47,2000.0,0
-186.91647813930157,14.0,520,58.67,2000.0,177.47,2000.0,0
-186.91647813930157,16.0,520,58.67,2000.0,177.47,2000.0,0
-186.91647813930157,18.0,520,58.67,2000.0,177.47,2000.0,0
-186.91647813930157,20.0,520,58.67,2000.0,177.47,2000.0,0
-186.61149187550052,6.0,520,73.33,2000.0,171.6,2000.0,0
-186.61149187550052,8.0,520,73.33,2000.0,171.6,2000.0,0
-186.61149187550052,10.0,520,73.33,2000.0,171.6,2000.0,0
-186.61149187550052,12.0,520,73.33,2000.0,171.6,2000.0,0
