,drone_speed,drone_horizontal_turn_rate,drone_response_distance,is_violation,max_heli_speed,min_heli_speed
0,44.0,6.0,2000.0,0,183.33,154.0
1,44.0,6.0,2200.0,0,183.33,154.0
2,44.0,6.0,2400.0,0,183.33,154.0
3,44.0,6.0,2600.0,0,183.33,154.0
4,44.0,6.0,2800.0,0,183.33,154.0
5,44.0,6.0,3000.0,0,183.33,154.0
6,44.0,6.0,3200.0,0,183.33,154.0
7,44.0,6.0,3400.0,0,183.33,154.0
8,44.0,6.0,3600.0,0,183.33,154.0
9,44.0,6.0,3800.0,0,183.33,154.0
10,44.0,6.0,4000.0,0,183.33,154.0
11,44.0,8.0,2000.0,0,183.33,154.0
12,44.0,8.0,2200.0,0,183.33,154.0
13,44.0,8.0,2400.0,0,183.33,154.0
14,44.0,8.0,2600.0,0,183.33,154.0
15,44.0,8.0,2800.0,0,183.33,154.0
16,44.0,8.0,3000.0,0,183.33,154.0
17,44.0,8.0,3200.0,0,183.33,154.0
18,44.0,8.0,3400.0,0,183.33,154.0
19,44.0,8.0,3600.0,0,183.33,154.0
20,44.0,8.0,3800.0,0,183.33,154.0
21,44.0,8.0,4000.0,0,183.33,154.0
22,44.0,10.0,2000.0,0,183.33,154.0
23,44.0,10.0,2200.0,0,183.33,154.0
24,44.0,10.0,2400.0,0,183.33,154.0
25,44.0,10.0,2600.0,0,183.33,154.0
26,44.0,10.0,2800.0,0,183.33,154.0
27,44.0,10.0,3000.0,0,183.33,154.0
28,44.0,10.0,3200.0,0,183.33,154.0
29,44.0,10.0,3400.0,0,183.33,154.0
30,44.0,10.0,3600.0,0,183.33,154.0
31,44.0,10.0,3800.0,0,183.33,154.0
32,44.0,10.0,4000.0,0,183.33,154.0
33,44.0,12.0,2000.0,0,183.33,154.0
34,44.0,12.0,2200.0,0,183.33,154.0
35,44.0,12.0,2400.0,0,183.33,154.0
36,44.0,12.0,2600.0,0,183.33,154.0
37,44.0,12.0,2800.0,0,183.33,154.0
38,44.0,12.0,3000.0,0,183.33,154.0
39,44.0,12.0,3200.0,0,183.33,154.0
40,44.0,12.0,3400.0,0,183.33,154.0
41,44.0,12.0,3600.0,0,183.33,154.0
42,44.0,12.0,3800.0,0,183.33,154.0
43,44.0,12.0,4000.0,0,183.33,154.0
44,44.0,14.0,2000.0,0,183.33,154.0
45,44.0,14.0,2200.0,0,183.33,154.0
46,44.0,14.0,2400.0,0,183.33,154.0
47,44.0,14.0,2600.0,0,183.33,154.0
48,44.0,14.0,2800.0,0,183.33,154.0
49,44.0,14.0,3000.0,0,183.33,154.0
50,44.0,14.0,3200.0,0,183.33,154.0
51,44.0,14.0,3400.0,0,183.33,154.0
52,44.0,14.0,3600.0,0,183.33,154.0
53,44.0,14.0,3800.0,0,183.33,154.0
54,44.0,14.0,4000.0,0,183.33,154.0
55,44.0,16.0,2000.0,0,183.33,154.0
56,44.0,16.0,2200.0,0,183.33,154.0
57,44.0,16.0,2400.0,0,183.33,154.0
58,44.0,16.0,2600.0,0,183.33,154.0
59,44.0,16.0,2800.0,0,183.33,154.0
60,44.0,16.0,3000.0,0,183.33,154.0
61,44.0,16.0,3200.0,0,183.33,154.0
62,44.0,16.0,3400.0,0,183.33,154.0
63,44.0,16.0,3600.0,0,183.33,154.0
64,44.0,16.0,3800.0,0,183.33,154.0
65,44.0,16.0,4000.0,0,183.33,154.0
66,44.0,18.0,2000.0,0,183.33,154.0
67,44.0,18.0,2200.0,0,183.33,154.0
68,44.0,18.0,2400.0,0,183.33,154.0
69,44.0,18.0,2600.0,0,183.33,154.0
70,44.0,18.0,2800.0,0,183.33,154.0
71,44.0,18.0,3000.0,0,183.33,154.0
72,44.0,18.0,3200.0,0,183.33,154.0
73,44.0,18.0,3400.0,0,183.33,154.0
74,44.0,18.0,3600.0,0,183.33,154.0
75,44.0,18.0,3800.0,0,183.33,154.0
76,44.0,18.0,4000.0,0,183.33,154.0
77,44.0,20.0,2000.0,0,183.33,154.0
78,44.0,20.0,2200.0,0,183.33,154.0
79,44.0,20.0,2400.0,0,183.33,154.0
80,44.0,20.0,2600.0,0,183.33,154.0
81,44.0,20.0,2800.0,0,183.33,154.0
82,44.0,20.0,3000.0,0,183.33,154.0
83,44.0,20.0,3200.0,0,183.33,154.0
84,44.0,20.0,3400.0,0,183.33,154.0
85,44.0,20.0,3600.0,0,183.33,154.0
86,44.0,20.0,3800.0,0,183.33,154.0
87,44.0,20.0,4000.0,0,183.33,154.0
91,51.33,6.0,2600.0,0,183.33,154.0
92,51.33,6.0,2800.0,0,183.33,154.0
93,51.33,6.0,3000.0,0,183.33,154.0
94,51.33,6.0,3200.0,0,183.33,154.0
95,51.33,6.0,3400.0,0,183.33,154.0
96,51.33,6.0,3600.0,0,183.33,154.0
97,51.33,6.0,3800.0,0,183.33,154.0
98,51.33,6.0,4000.0,0,183.33,154.0
101,51.33,8.0,2400.0,0,183.33,154.0
102,51.33,8.0,2600.0,0,183.33,154.0
103,51.33,8.0,2800.0,0,183.33,154.0
104,51.33,8.0,3000.0,0,183.33,154.0
105,51.33,8.0,3200.0,0,183.33,154.0
106,51.33,8.0,3400.0,0,183.33,154.0
107,51.33,8.0,3600.0,0,183.33,154.0
108,51.33,8.0,3800.0,0,183.33,154.0
109,51.33,8.0,4000.0,0,183.33,154.0
112,51.33,10.0,2400.0,0,183.33,154.0
113,51.33,10.0,2600.0,0,183.33,154.0
114,51.33,10.0,2800.0,0,183.33,154.0
115,51.33,10.0,3000.0,0,183.33,154.0
116,51.33,10.0,3200.0,0,183.33,154.0
117,51.33,10.0,3400.0,0,183.33,154.0
118,51.33,10.0,3600.0,0,183.33,154.0
119,51.33,10.0,3800.0,0,183.33,154.0
120,51.33,10.0,4000.0,0,183.33,154.0
123,51.33,12.0,2400.0,0,183.33,154.0
124,51.33,12.0,2600.0,0,183.33,154.0
125,51.33,12.0,2800.0,0,183.33,154.0
126,51.33,12.0,3000.0,0,183.33,154.0
127,51.33,12.0,3200.0,0,183.33,154.0
128,51.33,12.0,3400.0,0,183.33,154.0
129,51.33,12.0,3600.0,0,183.33,154.0
130,51.33,12.0,3800.0,0,183.33,154.0
131,51.33,12.0,4000.0,0,183.33,154.0
132,51.33,14.0,2000.0,0,183.33,154.0
133,51.33,14.0,2200.0,0,183.33,154.0
134,51.33,14.0,2400.0,0,183.33,154.0
135,51.33,14.0,2600.0,0,183.33,154.0
136,51.33,14.0,2800.0,0,183.33,154.0
137,51.33,14.0,3000.0,0,183.33,154.0
138,51.33,14.0,3200.0,0,183.33,154.0
139,51.33,14.0,3400.0,0,183.33,154.0
140,51.33,14.0,3600.0,0,183.33,154.0
141,51.33,14.0,3800.0,0,183.33,154.0
142,51.33,14.0,4000.0,0,183.33,154.0
143,51.33,16.0,2000.0,0,183.33,154.0
144,51.33,16.0,2200.0,0,183.33,154.0
145,51.33,16.0,2400.0,0,183.33,154.0
146,51.33,16.0,2600.0,0,183.33,154.0
147,51.33,16.0,2800.0,0,183.33,154.0
148,51.33,16.0,3000.0,0,183.33,154.0
149,51.33,16.0,3200.0,0,183.33,154.0
150,51.33,16.0,3400.0,0,183.33,154.0
151,51.33,16.0,3600.0,0,183.33,154.0
152,51.33,16.0,3800.0,0,183.33,154.0
153,51.33,16.0,4000.0,0,183.33,154.0
154,51.33,18.0,2000.0,0,183.33,154.0
155,51.33,18.0,2200.0,0,183.33,154.0
156,51.33,18.0,2400.0,0,183.33,154.0
157,51.33,18.0,2600.0,0,183.33,154.0
158,51.33,18.0,2800.0,0,183.33,154.0
159,51.33,18.0,3000.0,0,183.33,154.0
160,51.33,18.0,3200.0,0,183.33,154.0
161,51.33,18.0,3400.0,0,183.33,154.0
162,51.33,18.0,3600.0,0,183.33,154.0
163,51.33,18.0,3800.0,0,183.33,154.0
164,51.33,18.0,4000.0,0,183.33,154.0
165,51.33,20.0,2000.0,0,183.33,154.0
166,51.33,20.0,2200.0,0,183.33,154.0
167,51.33,20.0,2400.0,0,183.33,154.0
168,51.33,20.0,2600.0,0,183.33,154.0
169,51.33,20.0,2800.0,0,183.33,154.0
