relative_speed,drone_ascent_rate,step,drone_speed,drone_x_pos,heli_speed,drone_response_distance,is_violation
-197.45171004577298,8.2,520,73.33,2500.0,183.33,4000.0,0
-197.45171004577298,8.95,520,73.33,2500.0,183.33,4000.0,0
-197.45171004577298,9.7,520,73.33,2500.0,183.33,4000.0,0
-197.45171004577298,10.45,520,73.33,2500.0,183.33,4000.0,0
-197.45171004577298,11.2,520,73.33,2500.0,183.33,4000.0,0
-197.45171004577298,11.95,520,73.33,2500.0,183.33,4000.0,0
-197.45171004577298,12.7,520,73.33,2500.0,183.33,4000.0,0
-197.45171004577298,13.45,520,73.33,2500.0,183.33,4000.0,0
-197.45171004577298,14.2,520,73.33,2500.0,183.33,4000.0,0
-194.84837412716587,8.2,520,66.0,2500.0,183.33,4000.0,0
-194.84837412716587,8.95,520,66.0,2500.0,183.33,4000.0,0
-194.84837412716587,9.7,520,66.0,2500.0,183.33,4000.0,0
-194.84837412716587,10.45,520,66.0,2500.0,183.33,4000.0,0
-194.84837412716587,11.2,520,66.0,2500.0,183.33,4000.0,0
-194.84837412716587,11.95,520,66.0,2500.0,183.33,4000.0,0
-194.84837412716587,12.7,520,66.0,2500.0,183.33,4000.0,0
-194.84837412716587,13.45,520,66.0,2500.0,183.33,4000.0,0
-194.84837412716587,14.2,520,66.0,2500.0,183.33,4000.0,0
-192.48911086084846,8.2,520,58.67,2500.0,183.33,4000.0,0
-192.48911086084846,8.95,520,58.67,2500.0,183.33,4000.0,0
-192.48911086084846,9.7,520,58.67,2500.0,183.33,4000.0,0
-192.48911086084846,10.45,520,58.67,2500.0,183.33,4000.0,0
-192.48911086084846,11.2,520,58.67,2500.0,183.33,4000.0,0
-192.48911086084846,11.95,520,58.67,2500.0,183.33,4000.0,0
-192.48911086084846,12.7,520,58.67,2500.0,183.33,4000.0,0
-192.48911086084846,13.45,520,58.67,2500.0,183.33,4000.0,0
-192.48911086084846,14.2,520,58.67,2500.0,183.33,4000.0,0
-192.0231491253073,8.2,520,73.33,2500.0,177.47,4000.0,0
-192.0231491253073,8.95,520,73.33,2500.0,177.47,4000.0,0
-192.0231491253073,9.7,520,73.33,2500.0,177.47,4000.0,0
-192.0231491253073,10.45,520,73.33,2500.0,177.47,4000.0,0
-192.0231491253073,11.2,520,73.33,2500.0,177.47,4000.0,0
-192.0231491253073,11.95,520,73.33,2500.0,177.47,4000.0,0
-192.0231491253073,12.7,520,73.33,2500.0,177.47,4000.0,0
-192.0231491253073,13.45,520,73.33,2500.0,177.47,4000.0,0
-192.0231491253073,14.2,520,73.33,2500.0,177.47,4000.0,0
-190.3802978251689,8.2,520,51.33,2500.0,183.33,4000.0,0
-190.3802978251689,8.95,520,51.33,2500.0,183.33,4000.0,0
-190.3802978251689,9.7,520,51.33,2500.0,183.33,4000.0,0
-190.3802978251689,10.45,520,51.33,2500.0,183.33,4000.0,0
-190.3802978251689,11.2,520,51.33,2500.0,183.33,4000.0,0
-190.3802978251689,11.95,520,51.33,2500.0,183.33,4000.0,0
-190.3802978251689,12.7,520,51.33,2500.0,183.33,4000.0,0
-190.3802978251689,13.45,520,51.33,2500.0,183.33,4000.0,0
-190.3802978251689,14.2,520,51.33,2500.0,183.33,4000.0,0
-189.34518979894895,8.2,520,66.0,2500.0,177.47,4000.0,0
-189.34518979894895,8.95,520,66.0,2500.0,177.47,4000.0,0
-189.34518979894895,9.7,520,66.0,2500.0,177.47,4000.0,0
-189.34518979894895,10.45,520,66.0,2500.0,177.47,4000.0,0
-189.34518979894895,11.2,520,66.0,2500.0,177.47,4000.0,0
-189.34518979894895,11.95,520,66.0,2500.0,177.47,4000.0,0
-189.34518979894895,12.7,520,66.0,2500.0,177.47,4000.0,0
-189.34518979894895,13.45,520,66.0,2500.0,177.47,4000.0,0
-189.34518979894895,14.2,520,66.0,2500.0,177.47,4000.0,0
-188.5361739826074,8.2,520,44.0,2500.0,183.33,4000.0,0
-188.5361739826074,8.95,520,44.0,2500.0,183.33,4000.0,0
-188.5361739826074,9.7,520,44.0,2500.0,183.33,4000.0,0
-188.5361739826074,10.45,520,44.0,2500.0,183.33,4000.0,0
-188.5361739826074,11.2,520,44.0,2500.0,183.33,4000.0,0
-188.5361739826074,11.95,520,44.0,2500.0,183.33,4000.0,0
-188.5361739826074,12.7,520,44.0,2500.0,183.33,4000.0,0
-188.5361739826074,13.45,520,44.0,2500.0,183.33,4000.0,0
-188.5361739826074,14.2,520,44.0,2500.0,183.33,4000.0,0
-186.91647813930157,8.2,520,58.67,2500.0,177.47,4000.0,0
-186.91647813930157,8.95,520,58.67,2500.0,177.47,4000.0,0
-186.91647813930157,9.7,520,58.67,2500.0,177.47,4000.0,0
-186.91647813930157,10.45,520,58.67,2500.0,177.47,4000.0,0
-186.91647813930157,11.2,520,58.67,2500.0,177.47,4000.0,0
-186.91647813930157,11.95,520,58.67,2500.0,177.47,4000.0,0
-186.91647813930157,12.7,520,58.67,2500.0,177.47,4000.0,0
-186.91647813930157,13.45,520,58.67,2500.0,177.47,4000.0,0
-186.91647813930157,14.2,520,58.67,2500.0,177.47,4000.0,0
-186.61149187550052,8.2,520,73.33,2500.0,171.6,4000.0,0
-186.61149187550052,8.95,520,73.33,2500.0,171.6,4000.0,0
-186.61149187550052,9.7,520,73.33,2500.0,171.6,4000.0,0
-186.61149187550052,10.45,520,73.33,2500.0,171.6,4000.0,0
-186.61149187550052,11.2,520,73.33,2500.0,171.6,4000.0,0
-186.61149187550052,11.95,520,73.33,2500.0,171.6,4000.0,0
-186.61149187550052,12.7,520,73.33,2500.0,171.6,4000.0,0
-186.61149187550052,13.45,520,73.33,2500.0,171.6,4000.0,0
-186.61149187550052,14.2,520,73.33,2500.0,171.6,4000.0,0
-184.74406566923875,8.2,520,51.33,2500.0,177.47,4000.0,0
-184.74406566923875,8.95,520,51.33,2500.0,177.47,4000.0,0
-184.74406566923875,9.7,520,51.33,2500.0,177.47,4000.0,0
-184.74406566923875,10.45,520,51.33,2500.0,177.47,4000.0,0
-184.74406566923875,11.2,520,51.33,2500.0,177.47,4000.0,0
-184.74406566923875,11.95,520,51.33,2500.0,177.47,4000.0,0
-184.74406566923875,12.7,520,51.33,2500.0,177.47,4000.0,0
-184.74406566923875,13.45,520,51.33,2500.0,177.47,4000.0,0
-184.74406566923875,14.2,520,51.33,2500.0,177.47,4000.0,0
-183.85472525883037,8.2,520,66.0,2500.0,171.6,4000.0,0
-183.85472525883037,8.95,520,66.0,2500.0,171.6,4000.0,0
-183.85472525883037,9.7,520,66.0,2500.0,171.6,4000.0,0
-183.85472525883037,10.45,520,66.0,2500.0,171.6,4000.0,0
-183.85472525883037,11.2,520,66.0,2500.0,171.6,4000.0,0
-183.85472525883037,11.95,520,66.0,2500.0,171.6,4000.0,0
-183.85472525883037,12.7,520,66.0,2500.0,171.6,4000.0,0
-183.85472525883037,13.45,520,66.0,2500.0,171.6,4000.0,0
-183.85472525883037,14.2,520,66.0,2500.0,171.6,4000.0,0
-182.84310460063844,8.2,520,44.0,2500.0,177.47,4000.0,0
