,drone_speed,drone_ascent_rate,drone_response_distance,is_violation,max_heli_speed,min_heli_speed
41,44.0,10.45,7400.0,0,183.33,154.0
42,44.0,10.45,7700.0,0,183.33,154.0
43,44.0,10.45,8000.0,0,183.33,154.0
51,44.0,11.2,7100.0,0,183.33,154.0
52,44.0,11.2,7400.0,0,183.33,154.0
53,44.0,11.2,7700.0,0,183.33,154.0
54,44.0,11.2,8000.0,0,183.33,154.0
61,44.0,11.95,6800.0,0,183.33,154.0
62,44.0,11.95,7100.0,0,183.33,154.0
63,44.0,11.95,7400.0,0,183.33,154.0
64,44.0,11.95,7700.0,0,183.33,154.0
65,44.0,11.95,8000.0,0,183.33,154.0
71,44.0,12.7,6500.0,0,183.33,154.0
72,44.0,12.7,6800.0,0,183.33,154.0
73,44.0,12.7,7100.0,0,183.33,154.0
74,44.0,12.7,7400.0,0,183.33,154.0
75,44.0,12.7,7700.0,0,183.33,154.0
76,44.0,12.7,8000.0,0,183.33,154.0
81,44.0,13.45,6200.0,0,183.33,154.0
82,44.0,13.45,6500.0,0,183.33,154.0
83,44.0,13.45,6800.0,0,183.33,154.0
84,44.0,13.45,7100.0,0,183.33,154.0
85,44.0,13.45,7400.0,0,183.33,154.0
86,44.0,13.45,7700.0,0,183.33,154.0
87,44.0,13.45,8000.0,0,183.33,154.0
91,44.0,14.2,5900.0,0,183.33,154.0
92,44.0,14.2,6200.0,0,183.33,154.0
93,44.0,14.2,6500.0,0,183.33,154.0
94,44.0,14.2,6800.0,0,183.33,154.0
95,44.0,14.2,7100.0,0,183.33,154.0
96,44.0,14.2,7400.0,0,183.33,154.0
97,44.0,14.2,7700.0,0,183.33,154.0
98,44.0,14.2,8000.0,0,183.33,154.0
141,51.33,10.45,7700.0,0,183.33,154.0
142,51.33,10.45,8000.0,0,183.33,154.0
150,51.33,11.2,7100.0,0,183.33,154.0
151,51.33,11.2,7400.0,0,183.33,154.0
152,51.33,11.2,7700.0,0,183.33,154.0
153,51.33,11.2,8000.0,0,183.33,154.0
160,51.33,11.95,6800.0,0,183.33,154.0
161,51.33,11.95,7100.0,0,183.33,154.0
162,51.33,11.95,7400.0,0,183.33,154.0
163,51.33,11.95,7700.0,0,183.33,154.0
164,51.33,11.95,8000.0,0,183.33,154.0
171,51.33,12.7,6800.0,0,183.33,154.0
172,51.33,12.7,7100.0,0,183.33,154.0
173,51.33,12.7,7400.0,0,183.33,154.0
174,51.33,12.7,7700.0,0,183.33,154.0
175,51.33,12.7,8000.0,0,183.33,154.0
180,51.33,13.45,6200.0,0,183.33,154.0
181,51.33,13.45,6500.0,0,183.33,154.0
182,51.33,13.45,6800.0,0,183.33,154.0
183,51.33,13.45,7100.0,0,183.33,154.0
184,51.33,13.45,7400.0,0,183.33,154.0
185,51.33,13.45,7700.0,0,183.33,154.0
186,51.33,13.45,8000.0,0,183.33,154.0
191,51.33,14.2,6200.0,0,183.33,154.0
192,51.33,14.2,6500.0,0,183.33,154.0
193,51.33,14.2,6800.0,0,183.33,154.0
194,51.33,14.2,7100.0,0,183.33,154.0
195,51.33,14.2,7400.0,0,183.33,154.0
196,51.33,14.2,7700.0,0,183.33,154.0
197,51.33,14.2,8000.0,0,183.33,154.0
241,58.67,10.45,8000.0,0,183.33,154.0
250,58.67,11.2,7400.0,0,183.33,154.0
251,58.67,11.2,7700.0,0,183.33,154.0
252,58.67,11.2,8000.0,0,183.33,154.0
260,58.67,11.95,7100.0,0,183.33,154.0
261,58.67,11.95,7400.0,0,183.33,154.0
262,58.67,11.95,7700.0,0,183.33,154.0
263,58.67,11.95,8000.0,0,183.33,154.0
270,58.67,12.7,6800.0,0,183.33,154.0
271,58.67,12.7,7100.0,0,183.33,154.0
272,58.67,12.7,7400.0,0,183.33,154.0
273,58.67,12.7,7700.0,0,183.33,154.0
274,58.67,12.7,8000.0,0,183.33,154.0
280,58.67,13.45,6500.0,0,183.33,154.0
281,58.67,13.45,6800.0,0,183.33,154.0
282,58.67,13.45,7100.0,0,183.33,154.0
283,58.67,13.45,7400.0,0,183.33,154.0
284,58.67,13.45,7700.0,0,183.33,154.0
285,58.67,13.45,8000.0,0,183.33,154.0
290,58.67,14.2,6200.0,0,183.33,154.0
291,58.67,14.2,6500.0,0,183.33,154.0
292,58.67,14.2,6800.0,0,183.33,154.0
293,58.67,14.2,7100.0,0,183.33,154.0
294,58.67,14.2,7400.0,0,183.33,154.0
295,58.67,14.2,7700.0,0,183.33,154.0
296,58.67,14.2,8000.0,0,183.33,154.0
350,66.0,11.2,7700.0,0,183.33,154.0
351,66.0,11.2,8000.0,0,183.33,154.0
360,66.0,11.95,7400.0,0,183.33,154.0
361,66.0,11.95,7700.0,0,183.33,154.0
362,66.0,11.95,8000.0,0,183.33,154.0
369,66.0,12.7,6800.0,0,183.33,154.0
370,66.0,12.7,7100.0,0,183.33,154.0
371,66.0,12.7,7400.0,0,183.33,154.0
372,66.0,12.7,7700.0,0,183.33,154.0
373,66.0,12.7,8000.0,0,183.33,154.0
379,66.0,13.45,6500.0,0,183.33,154.0
380,66.0,13.45,6800.0,0,183.33,154.0
381,66.0,13.45,7100.0,0,183.33,154.0
382,66.0,13.45,7400.0,0,183.33,154.0
383,66.0,13.45,7700.0,0,183.33,154.0
384,66.0,13.45,8000.0,0,183.33,154.0
389,66.0,14.2,6200.0,0,183.33,154.0
390,66.0,14.2,6500.0,0,183.33,154.0
391,66.0,14.2,6800.0,0,183.33,154.0
392,66.0,14.2,7100.0,0,183.33,154.0
393,66.0,14.2,7400.0,0,183.33,154.0
394,66.0,14.2,7700.0,0,183.33,154.0
395,66.0,14.2,8000.0,0,183.33,154.0
449,73.33,11.2,7700.0,0,183.33,154.0
450,73.33,11.2,8000.0,0,183.33,154.0
459,73.33,11.95,7400.0,0,183.33,154.0
460,73.33,11.95,7700.0,0,183.33,154.0
461,73.33,11.95,8000.0,0,183.33,154.0
469,73.33,12.7,7100.0,0,183.33,154.0
470,73.33,12.7,7400.0,0,183.33,154.0
471,73.33,12.7,7700.0,0,183.33,154.0
472,73.33,12.7,8000.0,0,183.33,154.0
479,73.33,13.45,6800.0,0,183.33,154.0
480,73.33,13.45,7100.0,0,183.33,154.0
481,73.33,13.45,7400.0,0,183.33,154.0
482,73.33,13.45,7700.0,0,183.33,154.0
483,73.33,13.45,8000.0,0,183.33,154.0
489,73.33,14.2,6500.0,0,183.33,154.0
490,73.33,14.2,6800.0,0,183.33,154.0
491,73.33,14.2,7100.0,0,183.33,154.0
492,73.33,14.2,7400.0,0,183.33,154.0
493,73.33,14.2,7700.0,0,183.33,154.0
494,73.33,14.2,8000.0,0,183.33,154.0
