relative_speed,drone_horizontal_turn_rate,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,is_violation
-256.66,6.0,520,73.33,4000.0,183.33,4000.0,0
-256.66,8.0,520,73.33,4000.0,183.33,3000.0,0
-256.66,10.0,520,73.33,4000.0,183.33,3000.0,0
-256.66,12.0,520,73.33,4000.0,183.33,3000.0,0
-256.66,14.0,520,73.33,4000.0,183.33,3000.0,0
-256.66,16.0,520,73.33,4000.0,183.33,3000.0,0
-256.66,18.0,520,73.33,4000.0,183.33,3000.0,0
-256.66,20.0,520,73.33,4000.0,183.33,3000.0,0
-250.8,6.0,520,73.33,4000.0,177.47,3500.0,0
-250.8,8.0,520,73.33,4000.0,177.47,3000.0,0
-250.8,10.0,520,73.33,4000.0,177.47,3000.0,0
-250.8,12.0,520,73.33,4000.0,177.47,3000.0,0
-250.8,14.0,520,73.33,4000.0,177.47,3000.0,0
-250.8,16.0,520,73.33,4000.0,177.47,3000.0,0
-250.8,18.0,520,73.33,4000.0,177.47,3000.0,0
-250.8,20.0,520,73.33,4000.0,177.47,3000.0,0
-249.33,6.0,520,66.0,4000.0,183.33,4000.0,0
-249.33,8.0,520,66.0,4000.0,183.33,3500.0,0
-249.33,10.0,520,66.0,4000.0,183.33,3000.0,0
-249.33,12.0,520,66.0,4000.0,183.33,3000.0,0
-249.33,14.0,520,66.0,4000.0,183.33,3000.0,0
-249.33,16.0,520,66.0,4000.0,183.33,3000.0,0
-249.33,18.0,520,66.0,4000.0,183.33,3000.0,0
-249.33,20.0,520,66.0,4000.0,183.33,3000.0,0
-244.93,6.0,520,73.33,4000.0,171.6,3500.0,0
-244.93,8.0,520,73.33,4000.0,171.6,3000.0,0
-244.93,10.0,520,73.33,4000.0,171.6,3000.0,0
-244.93,12.0,520,73.33,4000.0,171.6,3000.0,0
-244.93,14.0,520,73.33,4000.0,171.6,3000.0,0
-244.93,16.0,520,73.33,4000.0,171.6,3000.0,0
-244.93,18.0,520,73.33,4000.0,171.6,3000.0,0
-244.93,20.0,520,73.33,4000.0,171.6,3000.0,0
-243.47,6.0,520,66.0,4000.0,177.47,3500.0,0
-243.47,8.0,520,66.0,4000.0,177.47,3000.0,0
-243.47,10.0,520,66.0,4000.0,177.47,3000.0,0
-243.47,12.0,520,66.0,4000.0,177.47,3000.0,0
-243.47,14.0,520,66.0,4000.0,177.47,3000.0,0
-243.47,16.0,520,66.0,4000.0,177.47,3000.0,0
-243.47,18.0,520,66.0,4000.0,177.47,3000.0,0
-243.47,20.0,520,66.0,4000.0,177.47,3000.0,0
-242.0,6.0,520,58.67,4500.0,183.33,4000.0,0
-242.0,8.0,520,58.67,4000.0,183.33,3500.0,0
-242.0,10.0,520,58.67,4000.0,183.33,3000.0,0
-242.0,12.0,520,58.67,4000.0,183.33,3000.0,0
-242.0,14.0,520,58.67,4000.0,183.33,3000.0,0
-242.0,16.0,520,58.67,4000.0,183.33,3000.0,0
-242.0,18.0,520,58.67,4000.0,183.33,3000.0,0
-242.0,20.0,520,58.67,4000.0,183.33,3000.0,0
-239.06,6.0,520,73.33,4000.0,165.73,3500.0,0
-239.06,8.0,520,73.33,4000.0,165.73,3000.0,0
-239.06,10.0,520,73.33,4000.0,165.73,3000.0,0
-239.06,12.0,520,73.33,4000.0,165.73,3000.0,0
-239.06,14.0,520,73.33,4000.0,165.73,3000.0,0
-239.06,16.0,520,73.33,4000.0,165.73,3000.0,0
-239.06,18.0,520,73.33,4000.0,165.73,3000.0,0
