,drone_speed,drone_horizontal_turn_rate,drone_response_distance,is_violation,max_heli_speed,min_heli_speed
196,58.67,8.0,7500.0,0,183.33,154.0
197,58.67,8.0,8000.0,0,183.33,154.0
207,58.67,10.0,7500.0,0,183.33,154.0
208,58.67,10.0,8000.0,0,183.33,154.0
218,58.67,12.0,7500.0,0,183.33,154.0
219,58.67,12.0,8000.0,0,183.33,154.0
228,58.67,14.0,7000.0,0,183.33,154.0
229,58.67,14.0,7500.0,0,183.33,154.0
230,58.67,14.0,8000.0,0,183.33,154.0
239,58.67,16.0,7000.0,0,183.33,154.0
240,58.67,16.0,7500.0,0,183.33,154.0
241,58.67,16.0,8000.0,0,183.33,154.0
250,58.67,18.0,7000.0,0,183.33,154.0
251,58.67,18.0,7500.0,0,183.33,154.0
252,58.67,18.0,8000.0,0,183.33,154.0
261,58.67,20.0,7000.0,0,183.33,154.0
262,58.67,20.0,7500.0,0,183.33,154.0
263,58.67,20.0,8000.0,0,183.33,154.0
273,66.0,6.0,7500.0,0,183.33,154.0
274,66.0,6.0,8000.0,0,183.33,154.0
283,66.0,8.0,7000.0,0,183.33,154.0
284,66.0,8.0,7500.0,0,183.33,154.0
285,66.0,8.0,8000.0,0,183.33,154.0
294,66.0,10.0,7000.0,0,183.33,154.0
295,66.0,10.0,7500.0,0,183.33,154.0
296,66.0,10.0,8000.0,0,183.33,154.0
304,66.0,12.0,6500.0,0,183.33,154.0
305,66.0,12.0,7000.0,0,183.33,154.0
306,66.0,12.0,7500.0,0,183.33,154.0
307,66.0,12.0,8000.0,0,183.33,154.0
315,66.0,14.0,6500.0,0,183.33,154.0
316,66.0,14.0,7000.0,0,183.33,154.0
317,66.0,14.0,7500.0,0,183.33,154.0
318,66.0,14.0,8000.0,0,183.33,154.0
326,66.0,16.0,6500.0,0,183.33,154.0
327,66.0,16.0,7000.0,0,183.33,154.0
328,66.0,16.0,7500.0,0,183.33,154.0
329,66.0,16.0,8000.0,0,183.33,154.0
337,66.0,18.0,6500.0,0,183.33,154.0
338,66.0,18.0,7000.0,0,183.33,154.0
339,66.0,18.0,7500.0,0,183.33,154.0
340,66.0,18.0,8000.0,0,183.33,154.0
348,66.0,20.0,6500.0,0,183.33,154.0
349,66.0,20.0,7000.0,0,183.33,154.0
350,66.0,20.0,7500.0,0,183.33,154.0
351,66.0,20.0,8000.0,0,183.33,154.0
360,73.33,6.0,7000.0,0,183.33,154.0
361,73.33,6.0,7500.0,0,183.33,154.0
362,73.33,6.0,8000.0,0,183.33,154.0
370,73.33,8.0,6500.0,0,183.33,154.0
371,73.33,8.0,7000.0,0,183.33,154.0
372,73.33,8.0,7500.0,0,183.33,154.0
373,73.33,8.0,8000.0,0,183.33,154.0
381,73.33,10.0,6500.0,0,183.33,154.0
382,73.33,10.0,7000.0,0,183.33,154.0
383,73.33,10.0,7500.0,0,183.33,154.0
384,73.33,10.0,8000.0,0,183.33,154.0
391,73.33,12.0,6000.0,0,183.33,154.0
392,73.33,12.0,6500.0,0,183.33,154.0
393,73.33,12.0,7000.0,0,183.33,154.0
394,73.33,12.0,7500.0,0,183.33,154.0
395,73.33,12.0,8000.0,0,183.33,154.0
402,73.33,14.0,6000.0,0,183.33,154.0
403,73.33,14.0,6500.0,0,183.33,154.0
404,73.33,14.0,7000.0,0,183.33,154.0
405,73.33,14.0,7500.0,0,183.33,154.0
406,73.33,14.0,8000.0,0,183.33,154.0
413,73.33,16.0,6000.0,0,183.33,154.0
414,73.33,16.0,6500.0,0,183.33,154.0
415,73.33,16.0,7000.0,0,183.33,154.0
416,73.33,16.0,7500.0,0,183.33,154.0
417,73.33,16.0,8000.0,0,183.33,154.0
423,73.33,18.0,5500.0,0,183.33,154.0
424,73.33,18.0,6000.0,0,183.33,154.0
425,73.33,18.0,6500.0,0,183.33,154.0
426,73.33,18.0,7000.0,0,183.33,154.0
427,73.33,18.0,7500.0,0,183.33,154.0
428,73.33,18.0,8000.0,0,183.33,154.0
434,73.33,20.0,5500.0,0,183.33,154.0
435,73.33,20.0,6000.0,0,183.33,154.0
436,73.33,20.0,6500.0,0,183.33,154.0
437,73.33,20.0,7000.0,0,183.33,154.0
438,73.33,20.0,7500.0,0,183.33,154.0
439,73.33,20.0,8000.0,0,183.33,154.0
