relative_speed,drone_ascent_rate,step,drone_speed,drone_y_pos,heli_speed,drone_response_distance,is_violation
-256.66,10.45,520,73.33,5500.0,183.33,7600.0,0
-256.66,11.2,520,73.33,4000.0,183.33,7000.0,0
-256.66,11.95,520,73.33,4000.0,183.33,6600.0,0
-256.66,12.7,520,73.33,4000.0,183.33,6400.0,0
-256.66,13.45,520,73.33,4000.0,183.33,6200.0,0
-256.66,14.2,520,73.33,4000.0,183.33,5800.0,0
-250.8,9.7,520,73.33,5500.0,177.47,7800.0,0
-250.8,10.45,520,73.33,5000.0,177.47,7200.0,0
-250.8,11.2,520,73.33,4000.0,177.47,7000.0,0
-250.8,11.95,520,73.33,4000.0,177.47,6600.0,0
-250.8,12.7,520,73.33,4000.0,177.47,6200.0,0
-250.8,13.45,520,73.33,4000.0,177.47,5800.0,0
-250.8,14.2,520,73.33,4000.0,177.47,5800.0,0
-249.33,9.7,520,66.0,5500.0,183.33,7800.0,0
-249.33,10.45,520,66.0,5000.0,183.33,7200.0,0
-249.33,11.2,520,66.0,4000.0,183.33,7000.0,0
-249.33,11.95,520,66.0,4000.0,183.33,6400.0,0
-249.33,12.7,520,66.0,4000.0,183.33,6200.0,0
-249.33,13.45,520,66.0,4000.0,183.33,6000.0,0
-249.33,14.2,520,66.0,4000.0,183.33,5600.0,0
-244.93,9.7,520,73.33,5500.0,171.6,7600.0,0
-244.93,10.45,520,73.33,4500.0,171.6,7200.0,0
-244.93,11.2,520,73.33,4000.0,171.6,6600.0,0
-244.93,11.95,520,73.33,4000.0,171.6,6400.0,0
-244.93,12.7,520,73.33,4000.0,171.6,6200.0,0
-244.93,13.45,520,73.33,4000.0,171.6,5800.0,0
-244.93,14.2,520,73.33,4000.0,171.6,5600.0,0
-243.47,9.7,520,66.0,5500.0,177.47,7600.0,0
-243.47,10.45,520,66.0,4500.0,177.47,7200.0,0
-243.47,11.2,520,66.0,4000.0,177.47,6800.0,0
-243.47,11.95,520,66.0,4000.0,177.47,6400.0,0
-243.47,12.7,520,66.0,4000.0,177.47,6200.0,0
-243.47,13.45,520,66.0,4000.0,177.47,5800.0,0
-243.47,14.2,520,66.0,4000.0,177.47,5600.0,0
-242.0,9.7,520,58.67,5500.0,183.33,7600.0,0
-242.0,10.45,520,58.67,4000.0,183.33,7000.0,0
-242.0,11.2,520,58.67,4000.0,183.33,6800.0,0
-242.0,11.95,520,58.67,4000.0,183.33,6400.0,0
-242.0,12.7,520,58.67,4000.0,183.33,6000.0,0
-242.0,13.45,520,58.67,4000.0,183.33,5800.0,0
-242.0,14.2,520,58.67,4000.0,183.33,5400.0,0
-239.06,9.7,520,73.33,5500.0,165.73,7600.0,0
-239.06,10.45,520,73.33,4000.0,165.73,7000.0,0
-239.06,11.2,520,73.33,4000.0,165.73,6600.0,0
-239.06,11.95,520,73.33,4000.0,165.73,6400.0,0
-239.06,12.7,520,73.33,4000.0,165.73,6000.0,0
-239.06,13.45,520,73.33,4000.0,165.73,5800.0,0
-239.06,14.2,520,73.33,4000.0,165.73,5600.0,0
-237.6,9.7,520,66.0,5500.0,171.6,7600.0,0
-237.6,10.45,520,66.0,4000.0,171.6,7000.0,0
-237.6,11.2,520,66.0,4000.0,171.6,6600.0,0
-237.6,11.95,520,66.0,4000.0,171.6,6400.0,0
-237.6,12.7,520,66.0,4000.0,171.6,5800.0,0
-237.6,13.45,520,66.0,4000.0,171.6,5600.0,0
-237.6,14.2,520,66.0,4000.0,171.6,5600.0,0
-236.14,9.7,520,58.67,5000.0,177.47,7400.0,0
-236.14,10.45,520,58.67,4000.0,177.47,7000.0,0
-236.14,11.2,520,58.67,4000.0,177.47,6600.0,0
-236.14,11.95,520,58.67,4000.0,177.47,6200.0,0
-236.14,12.7,520,58.67,4000.0,177.47,6000.0,0
-236.14,13.45,520,58.67,4000.0,177.47,5600.0,0
-236.14,14.2,520,58.67,4000.0,177.47,5400.0,0
-234.66000000000003,9.7,520,51.33,5000.0,183.33,7400.0,0
-234.66000000000003,10.45,520,51.33,4000.0,183.33,7000.0,0
-234.66000000000003,11.2,520,51.33,4000.0,183.33,6600.0,0
-234.66000000000003,11.95,520,51.33,4000.0,183.33,6200.0,0
-234.66000000000003,12.7,520,51.33,4000.0,183.33,6000.0,0
-234.66000000000003,13.45,520,51.33,4000.0,183.33,5800.0,0
-234.66000000000003,14.2,520,51.33,4000.0,183.33,5400.0,0
-233.2,9.7,520,73.33,5000.0,159.87,7200.0,0
-233.2,10.45,520,73.33,4000.0,159.87,7000.0,0
-233.2,11.2,520,73.33,4000.0,159.87,6600.0,0
-233.2,11.95,520,73.33,4000.0,159.87,6200.0,0
-233.2,12.7,520,73.33,4000.0,159.87,5800.0,0
-233.2,13.45,520,73.33,4000.0,159.87,5600.0,0
-233.2,14.2,520,73.33,4000.0,159.87,5400.0,0
-231.73,8.95,520,66.0,5500.0,165.73,8000.0,0
-231.73,9.7,520,66.0,5000.0,165.73,7200.0,0
-231.73,10.45,520,66.0,4000.0,165.73,7000.0,0
-231.73,11.2,520,66.0,4000.0,165.73,6400.0,0
-231.73,11.95,520,66.0,4000.0,165.73,6200.0,0
-231.73,12.7,520,66.0,4000.0,165.73,5800.0,0
-231.73,13.45,520,66.0,4000.0,165.73,5600.0,0
-231.73,14.2,520,66.0,4000.0,165.73,5400.0,0
-230.26999999999998,8.95,520,58.67,5500.0,171.6,7800.0,0
-230.26999999999998,9.7,520,58.67,5000.0,171.6,7200.0,0
-230.26999999999998,10.45,520,58.67,4000.0,171.6,6800.0,0
-230.26999999999998,11.2,520,58.67,4000.0,171.6,6400.0,0
-230.26999999999998,11.95,520,58.67,4000.0,171.6,6200.0,0
-230.26999999999998,12.7,520,58.67,4000.0,171.6,6000.0,0
-230.26999999999998,13.45,520,58.67,4000.0,171.6,5600.0,0
-230.26999999999998,14.2,520,58.67,4000.0,171.6,5400.0,0
-228.8,8.95,520,51.33,5500.0,177.47,7800.0,0
-228.8,9.7,520,51.33,5000.0,177.47,7200.0,0
-228.8,10.45,520,51.33,4000.0,177.47,6800.0,0
-228.8,11.2,520,51.33,4000.0,177.47,6400.0,0
-228.8,11.95,520,51.33,4000.0,177.47,6000.0,0
-228.8,12.7,520,51.33,4000.0,177.47,5800.0,0
-228.8,13.45,520,51.33,4000.0,177.47,5400.0,0
-228.8,14.2,520,51.33,4000.0,177.47,5200.0,0
-227.33,8.95,520,44.0,5500.0,183.33,7600.0,0
-227.33,9.7,520,44.0,4500.0,183.33,7000.0,0
-227.33,10.45,520,44.0,4000.0,183.33,6800.0,0
-227.33,11.2,520,44.0,4000.0,183.33,6400.0,0
-227.33,11.95,520,44.0,4000.0,183.33,6000.0,0
-227.33,12.7,520,44.0,4000.0,183.33,5800.0,0
-227.33,13.45,520,44.0,4000.0,183.33,5600.0,0
-227.33,14.2,520,44.0,4000.0,183.33,5400.0,0
-227.32999999999998,8.95,520,73.33,5500.0,154.0,7800.0,0
-227.32999999999998,9.7,520,73.33,4500.0,154.0,7200.0,0
-227.32999999999998,10.45,520,73.33,4000.0,154.0,6600.0,0
-227.32999999999998,11.2,520,73.33,4000.0,154.0,6400.0,0
-227.32999999999998,11.95,520,73.33,4000.0,154.0,6000.0,0
-227.32999999999998,12.7,520,73.33,4000.0,154.0,5800.0,0
-227.32999999999998,13.45,520,73.33,4000.0,154.0,5400.0,0
-227.32999999999998,14.2,520,73.33,4000.0,154.0,5400.0,0
-225.87,8.95,520,66.0,5500.0,159.87,7600.0,0
-225.87,9.7,520,66.0,4500.0,159.87,7200.0,0
-225.87,10.45,520,66.0,4000.0,159.87,6600.0,0
-225.87,11.2,520,66.0,4000.0,159.87,6400.0,0
-225.87,11.95,520,66.0,4000.0,159.87,6000.0,0
-225.87,12.7,520,66.0,4000.0,159.87,5800.0,0
-225.87,13.45,520,66.0,4000.0,159.87,5600.0,0
-225.87,14.2,520,66.0,4000.0,159.87,5200.0,0
-224.39999999999998,8.95,520,58.67,5500.0,165.73,7600.0,0
-224.39999999999998,9.7,520,58.67,4000.0,165.73,7000.0,0
-224.39999999999998,10.45,520,58.67,4000.0,165.73,6800.0,0
-224.39999999999998,11.2,520,58.67,4000.0,165.73,6400.0,0
-224.39999999999998,11.95,520,58.67,4000.0,165.73,6000.0,0
-224.39999999999998,12.7,520,58.67,4000.0,165.73,5600.0,0
-224.39999999999998,13.45,520,58.67,4000.0,165.73,5400.0,0
-224.39999999999998,14.2,520,58.67,4000.0,165.73,5400.0,0
-222.93,8.95,520,51.33,5500.0,171.6,7600.0,0
-222.93,9.7,520,51.33,4000.0,171.6,7000.0,0
-222.93,10.45,520,51.33,4000.0,171.6,6800.0,0
-222.93,11.2,520,51.33,4000.0,171.6,6200.0,0
-222.93,11.95,520,51.33,4000.0,171.6,6000.0,0
-222.93,12.7,520,51.33,4000.0,171.6,5800.0,0
