,drone_speed,drone_ascent_rate,drone_response_distance,is_violation,max_heli_speed,min_heli_speed
90,44.0,10.45,7400.0,0,183.33,154.0
91,44.0,10.45,7600.0,0,183.33,154.0
92,44.0,10.45,7800.0,0,183.33,154.0
93,44.0,10.45,8000.0,0,183.33,154.0
94,44.0,10.45,8200.0,0,183.33,154.0
95,44.0,10.45,8400.0,0,183.33,154.0
96,44.0,10.45,8600.0,0,183.33,154.0
97,44.0,10.45,8800.0,0,183.33,154.0
98,44.0,10.45,9000.0,0,183.33,154.0
99,44.0,10.45,9200.0,0,183.33,154.0
100,44.0,10.45,9400.0,0,183.33,154.0
101,44.0,10.45,9600.0,0,183.33,154.0
102,44.0,10.45,9800.0,0,183.33,154.0
103,44.0,10.45,10000.0,0,183.33,154.0
114,44.0,11.2,7000.0,0,183.33,154.0
115,44.0,11.2,7200.0,0,183.33,154.0
116,44.0,11.2,7400.0,0,183.33,154.0
117,44.0,11.2,7600.0,0,183.33,154.0
118,44.0,11.2,7800.0,0,183.33,154.0
119,44.0,11.2,8000.0,0,183.33,154.0
120,44.0,11.2,8200.0,0,183.33,154.0
121,44.0,11.2,8400.0,0,183.33,154.0
122,44.0,11.2,8600.0,0,183.33,154.0
123,44.0,11.2,8800.0,0,183.33,154.0
124,44.0,11.2,9000.0,0,183.33,154.0
125,44.0,11.2,9200.0,0,183.33,154.0
126,44.0,11.2,9400.0,0,183.33,154.0
127,44.0,11.2,9600.0,0,183.33,154.0
128,44.0,11.2,9800.0,0,183.33,154.0
129,44.0,11.2,10000.0,0,183.33,154.0
138,44.0,11.95,6600.0,0,183.33,154.0
139,44.0,11.95,6800.0,0,183.33,154.0
140,44.0,11.95,7000.0,0,183.33,154.0
141,44.0,11.95,7200.0,0,183.33,154.0
142,44.0,11.95,7400.0,0,183.33,154.0
143,44.0,11.95,7600.0,0,183.33,154.0
144,44.0,11.95,7800.0,0,183.33,154.0
145,44.0,11.95,8000.0,0,183.33,154.0
146,44.0,11.95,8200.0,0,183.33,154.0
147,44.0,11.95,8400.0,0,183.33,154.0
148,44.0,11.95,8600.0,0,183.33,154.0
149,44.0,11.95,8800.0,0,183.33,154.0
150,44.0,11.95,9000.0,0,183.33,154.0
151,44.0,11.95,9200.0,0,183.33,154.0
152,44.0,11.95,9400.0,0,183.33,154.0
153,44.0,11.95,9600.0,0,183.33,154.0
154,44.0,11.95,9800.0,0,183.33,154.0
155,44.0,11.95,10000.0,0,183.33,154.0
163,44.0,12.7,6400.0,0,183.33,154.0
164,44.0,12.7,6600.0,0,183.33,154.0
165,44.0,12.7,6800.0,0,183.33,154.0
166,44.0,12.7,7000.0,0,183.33,154.0
167,44.0,12.7,7200.0,0,183.33,154.0
168,44.0,12.7,7400.0,0,183.33,154.0
169,44.0,12.7,7600.0,0,183.33,154.0
170,44.0,12.7,7800.0,0,183.33,154.0
171,44.0,12.7,8000.0,0,183.33,154.0
172,44.0,12.7,8200.0,0,183.33,154.0
173,44.0,12.7,8400.0,0,183.33,154.0
174,44.0,12.7,8600.0,0,183.33,154.0
175,44.0,12.7,8800.0,0,183.33,154.0
176,44.0,12.7,9000.0,0,183.33,154.0
177,44.0,12.7,9200.0,0,183.33,154.0
178,44.0,12.7,9400.0,0,183.33,154.0
179,44.0,12.7,9600.0,0,183.33,154.0
180,44.0,12.7,9800.0,0,183.33,154.0
181,44.0,12.7,10000.0,0,183.33,154.0
187,44.0,13.45,6000.0,0,183.33,154.0
188,44.0,13.45,6200.0,0,183.33,154.0
189,44.0,13.45,6400.0,0,183.33,154.0
190,44.0,13.45,6600.0,0,183.33,154.0
191,44.0,13.45,6800.0,0,183.33,154.0
192,44.0,13.45,7000.0,0,183.33,154.0
193,44.0,13.45,7200.0,0,183.33,154.0
194,44.0,13.45,7400.0,0,183.33,154.0
195,44.0,13.45,7600.0,0,183.33,154.0
196,44.0,13.45,7800.0,0,183.33,154.0
197,44.0,13.45,8000.0,0,183.33,154.0
198,44.0,13.45,8200.0,0,183.33,154.0
199,44.0,13.45,8400.0,0,183.33,154.0
200,44.0,13.45,8600.0,0,183.33,154.0
201,44.0,13.45,8800.0,0,183.33,154.0
202,44.0,13.45,9000.0,0,183.33,154.0
203,44.0,13.45,9200.0,0,183.33,154.0
204,44.0,13.45,9400.0,0,183.33,154.0
205,44.0,13.45,9600.0,0,183.33,154.0
206,44.0,13.45,9800.0,0,183.33,154.0
207,44.0,13.45,10000.0,0,183.33,154.0
212,44.0,14.2,5800.0,0,183.33,154.0
213,44.0,14.2,6000.0,0,183.33,154.0
214,44.0,14.2,6200.0,0,183.33,154.0
215,44.0,14.2,6400.0,0,183.33,154.0
216,44.0,14.2,6600.0,0,183.33,154.0
217,44.0,14.2,6800.0,0,183.33,154.0
218,44.0,14.2,7000.0,0,183.33,154.0
219,44.0,14.2,7200.0,0,183.33,154.0
220,44.0,14.2,7400.0,0,183.33,154.0
221,44.0,14.2,7600.0,0,183.33,154.0
222,44.0,14.2,7800.0,0,183.33,154.0
223,44.0,14.2,8000.0,0,183.33,154.0
224,44.0,14.2,8200.0,0,183.33,154.0
225,44.0,14.2,8400.0,0,183.33,154.0
226,44.0,14.2,8600.0,0,183.33,154.0
227,44.0,14.2,8800.0,0,183.33,154.0
228,44.0,14.2,9000.0,0,183.33,154.0
229,44.0,14.2,9200.0,0,183.33,154.0
230,44.0,14.2,9400.0,0,183.33,154.0
231,44.0,14.2,9600.0,0,183.33,154.0
232,44.0,14.2,9800.0,0,183.33,154.0
233,44.0,14.2,10000.0,0,183.33,154.0
325,51.33,10.45,7600.0,0,183.33,154.0
326,51.33,10.45,7800.0,0,183.33,154.0
327,51.33,10.45,8000.0,0,183.33,154.0
328,51.33,10.45,8200.0,0,183.33,154.0
329,51.33,10.45,8400.0,0,183.33,154.0
330,51.33,10.45,8600.0,0,183.33,154.0
331,51.33,10.45,8800.0,0,183.33,154.0
332,51.33,10.45,9000.0,0,183.33,154.0
333,51.33,10.45,9200.0,0,183.33,154.0
334,51.33,10.45,9400.0,0,183.33,154.0
335,51.33,10.45,9600.0,0,183.33,154.0
336,51.33,10.45,9800.0,0,183.33,154.0
337,51.33,10.45,10000.0,0,183.33,154.0
348,51.33,11.2,7000.0,0,183.33,154.0
349,51.33,11.2,7200.0,0,183.33,154.0
350,51.33,11.2,7400.0,0,183.33,154.0
351,51.33,11.2,7600.0,0,183.33,154.0
352,51.33,11.2,7800.0,0,183.33,154.0
353,51.33,11.2,8000.0,0,183.33,154.0
354,51.33,11.2,8200.0,0,183.33,154.0
355,51.33,11.2,8400.0,0,183.33,154.0
356,51.33,11.2,8600.0,0,183.33,154.0
357,51.33,11.2,8800.0,0,183.33,154.0
358,51.33,11.2,9000.0,0,183.33,154.0
359,51.33,11.2,9200.0,0,183.33,154.0
360,51.33,11.2,9400.0,0,183.33,154.0
361,51.33,11.2,9600.0,0,183.33,154.0
362,51.33,11.2,9800.0,0,183.33,154.0
363,51.33,11.2,10000.0,0,183.33,154.0
