,drone_speed,drone_ascent_rate,drone_response_distance,is_violation,max_heli_speed,min_heli_speed
32,44.0,9.7,5500.0,0,183.33,154.0
43,44.0,10.45,5500.0,0,183.33,154.0
52,44.0,11.2,5100.0,0,183.33,154.0
53,44.0,11.2,5300.0,0,183.33,154.0
54,44.0,11.2,5500.0,0,183.33,154.0
62,44.0,11.95,4900.0,0,183.33,154.0
63,44.0,11.95,5100.0,0,183.33,154.0
64,44.0,11.95,5300.0,0,183.33,154.0
65,44.0,11.95,5500.0,0,183.33,154.0
73,44.0,12.7,4900.0,0,183.33,154.0
74,44.0,12.7,5100.0,0,183.33,154.0
75,44.0,12.7,5300.0,0,183.33,154.0
76,44.0,12.7,5500.0,0,183.33,154.0
83,44.0,13.45,4700.0,0,183.33,154.0
84,44.0,13.45,4900.0,0,183.33,154.0
85,44.0,13.45,5100.0,0,183.33,154.0
86,44.0,13.45,5300.0,0,183.33,154.0
87,44.0,13.45,5500.0,0,183.33,154.0
93,44.0,14.2,4500.0,0,183.33,154.0
94,44.0,14.2,4700.0,0,183.33,154.0
95,44.0,14.2,4900.0,0,183.33,154.0
96,44.0,14.2,5100.0,0,183.33,154.0
97,44.0,14.2,5300.0,0,183.33,154.0
98,44.0,14.2,5500.0,0,183.33,154.0
130,51.33,9.7,5300.0,0,183.33,154.0
131,51.33,9.7,5500.0,0,183.33,154.0
141,51.33,10.45,5300.0,0,183.33,154.0
142,51.33,10.45,5500.0,0,183.33,154.0
150,51.33,11.2,4900.0,0,183.33,154.0
151,51.33,11.2,5100.0,0,183.33,154.0
152,51.33,11.2,5300.0,0,183.33,154.0
153,51.33,11.2,5500.0,0,183.33,154.0
160,51.33,11.95,4700.0,0,183.33,154.0
161,51.33,11.95,4900.0,0,183.33,154.0
162,51.33,11.95,5100.0,0,183.33,154.0
163,51.33,11.95,5300.0,0,183.33,154.0
164,51.33,11.95,5500.0,0,183.33,154.0
171,51.33,12.7,4700.0,0,183.33,154.0
172,51.33,12.7,4900.0,0,183.33,154.0
173,51.33,12.7,5100.0,0,183.33,154.0
174,51.33,12.7,5300.0,0,183.33,154.0
175,51.33,12.7,5500.0,0,183.33,154.0
181,51.33,13.45,4500.0,0,183.33,154.0
182,51.33,13.45,4700.0,0,183.33,154.0
183,51.33,13.45,4900.0,0,183.33,154.0
184,51.33,13.45,5100.0,0,183.33,154.0
185,51.33,13.45,5300.0,0,183.33,154.0
186,51.33,13.45,5500.0,0,183.33,154.0
191,51.33,14.2,4300.0,0,183.33,154.0
192,51.33,14.2,4500.0,0,183.33,154.0
193,51.33,14.2,4700.0,0,183.33,154.0
194,51.33,14.2,4900.0,0,183.33,154.0
195,51.33,14.2,5100.0,0,183.33,154.0
