,drone_speed,drone_ascent_rate,drone_response_distance,is_violation,max_heli_speed,min_heli_speed
11,44.0,8.2,6200.0,0,183.33,154.0
12,44.0,8.2,6400.0,0,183.33,154.0
13,44.0,8.2,6600.0,0,183.33,154.0
14,44.0,8.2,6800.0,0,183.33,154.0
15,44.0,8.2,7000.0,0,183.33,154.0
16,44.0,8.2,7200.0,0,183.33,154.0
17,44.0,8.2,7400.0,0,183.33,154.0
18,44.0,8.2,7600.0,0,183.33,154.0
19,44.0,8.2,7800.0,0,183.33,154.0
20,44.0,8.2,8000.0,0,183.33,154.0
21,44.0,8.2,8200.0,0,183.33,154.0
22,44.0,8.2,8400.0,0,183.33,154.0
23,44.0,8.2,8600.0,0,183.33,154.0
24,44.0,8.2,8800.0,0,183.33,154.0
25,44.0,8.2,9000.0,0,183.33,154.0
26,44.0,8.2,9200.0,0,183.33,154.0
27,44.0,8.2,9400.0,0,183.33,154.0
28,44.0,8.2,9600.0,0,183.33,154.0
29,44.0,8.2,9800.0,0,183.33,154.0
30,44.0,8.2,10000.0,0,183.33,154.0
40,44.0,8.95,5800.0,0,183.33,154.0
41,44.0,8.95,6000.0,0,183.33,154.0
42,44.0,8.95,6200.0,0,183.33,154.0
43,44.0,8.95,6400.0,0,183.33,154.0
44,44.0,8.95,6600.0,0,183.33,154.0
45,44.0,8.95,6800.0,0,183.33,154.0
46,44.0,8.95,7000.0,0,183.33,154.0
47,44.0,8.95,7200.0,0,183.33,154.0
48,44.0,8.95,7400.0,0,183.33,154.0
49,44.0,8.95,7600.0,0,183.33,154.0
50,44.0,8.95,7800.0,0,183.33,154.0
51,44.0,8.95,8000.0,0,183.33,154.0
52,44.0,8.95,8200.0,0,183.33,154.0
53,44.0,8.95,8400.0,0,183.33,154.0
54,44.0,8.95,8600.0,0,183.33,154.0
55,44.0,8.95,8800.0,0,183.33,154.0
56,44.0,8.95,9000.0,0,183.33,154.0
57,44.0,8.95,9200.0,0,183.33,154.0
58,44.0,8.95,9400.0,0,183.33,154.0
59,44.0,8.95,9600.0,0,183.33,154.0
60,44.0,8.95,9800.0,0,183.33,154.0
61,44.0,8.95,10000.0,0,183.33,154.0
69,44.0,9.7,5400.0,0,183.33,154.0
70,44.0,9.7,5600.0,0,183.33,154.0
71,44.0,9.7,5800.0,0,183.33,154.0
72,44.0,9.7,6000.0,0,183.33,154.0
